decision,confirmed_name,confirmed_category_id,confirmed_category_name,sample_id,candidate_name,alternative_names,name_score,name_ocr_confidence,dataset_label_ids,dataset_label_names,ocr_suggested_id,ocr_suggested_name,ocr_suggested_score,review_status,evidence,image,review_image,ocr_json,ocr_text
reject,,,,40,敷尔佳积雪草舒缓修护贴,净含量：2g×5% | 教尔佳,5.953,0.98828,9,外用药,,,0,curated_rejected,人工数据库复核：修护贴产品展示，不能确认是药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\40.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\40.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\40.json,教尔佳 | FUERJIA | CENTELLA ASHATICA SOQTHING AND REPAIR MASK | 敷尔佳积雪草舒缓修护贴 | 净含量：2g×5%
,桂龙药膏,9,外用药,45,桂龙药膏,,11.999,0.9997,9,外用药,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\45.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\45.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\45.json,OTC | 葛洪 | 桂龙药膏 | 202 | 商
reject,,,,62,红動中国红动正版商业素材,红动中国WWW.REDOCN.COM | 原创印剧用高精素材独家发布红动版权所有盗版转载必究,5.718,0.92946,0,感冒药,,,0,curated_rejected,人工数据库复核：带素材网站水印的包装设计图，不是真实药盒。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\62.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\62.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\62.json,红动中国WWW.REDOCN.COM | 红動中国红动正版商业素材 | 原创印剧用高精素材独家发布红动版权所有盗版转载必究 | OT0 | Coldmedicine | OTC | Coldmedicine | www.redocn.com | 编号：17767 (图片114素材网 www.tupian114.com)
,清咽片,,,65,清咽片,舌燥，咽下不利 | 清凉解热，生津止渴。用于,9.995,0.99876,0|17,感冒药|其它,,,0,needs_review,数据集含多个类别或缺少标签，必须人工选择,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\65.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\65.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\65.json,批准文号：国药准字Z14021859 | OTC | 星宝 | 清咽片 | Qingyan Pian | 功能主治 | 清凉解热，生津止渴。用于 | 咽喉肿痛，声嘶音哑，口干 | 舌燥，咽下不利。 | 山西华元医药生物技术有限公司
,养血荣筋丸,17,其它,72,养血荣筋丸,北京同仁堂,11.993,0.99815,17,其它,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\72.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\72.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\72.json,养血荣筋丸 | OTC | 北京同仁堂 | Yangxue Rongjin Wan | 每丸乘9克 每盒装10丸
,清咽片,17,其它,79,清咽片,舌燥，咽下不利 | 咽喉肿痛，声晰音哑，口干,10.0,0.99989,17,其它,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\79.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\79.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\79.json,OTC | 清咽片 | 德众 | DEZHONG | 每盒装24片 | 功能主治 | 清凉解热，生津止渴，用于 | 咽喉肿痛，声晰音哑，口干 | 舌燥，咽下不利。 | 国药集团德众(佛山)药业有限公司
reject,,,,81,陆尔草牌聚邦片,工艺:烫金 | 纸上印包装样品,11.997,0.99918,17,其它,,,0,curated_rejected,人工数据库复核：包装工艺样品，不是可确认药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\81.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\81.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\81.json,骨康源 | 工艺:烫金 | 烫银V | 陆尔草牌聚邦片 | 纸上印包装样品
,每方瓜子金颗粒,,,86,每方瓜子金颗粒,让咳靴艳颗粒 | 小荣胡微粒,11.783,0.94579,1|17,止咳化痰|其它,,,0,needs_review,数据集含多个类别或缺少标签，必须人工选择,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\86.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\86.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\86.json,HVMNIING | 小荣胡微粒 | 每方瓜子金颗粒 | 让咳靴艳颗粒 | 6 | 10袋
reject,,,,92,包装设计案例-药浴,妇健修复 | 安神信健,5.999,0.99982,17,其它,,,0,curated_rejected,人工数据库复核：药浴包装设计案例，不是药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\92.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\92.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\92.json,包装设计案例-药浴 | 安神信健 | 妇健修复 | 儿童药浴 | 排车养颜 | 活络扶风 | 温晋四元 | 笔圣十方 | 笔圣十方
reject,,,,109,妇健修复,温肾固元 | 活络祛风,6.0,0.99995,13|14|17,中成药|妇科用药|其它,,,0,curated_rejected,人工数据库复核：药浴礼盒设计，不是可确认药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\109.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\109.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\109.json,电基十方 | 安神倍健 | 电易十方 | 妇健修复 | 儿童药浴 | 宽圣十方 | 排毒养颜 | 活络祛风 | 温肾固元
reject,,,,111,宠物营养补充剂,卵磷脂：软数粒 | 卵磷脂（软赖粒,6.0,0.99991,17,其它,16,保健品,6,curated_rejected,人工数据库复核：宠物营养补充剂，不属于人用药品数据库。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\111.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\111.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\111.json,ittastes | 2 | ittastes | Supplements | Supplements | Find i more suiable ror it tastes | 宠物营养补充剂 | 卵磷脂：软数粒 | 宠物营养补充剂 | Find i more sutoblo ror it tastes | Booutyhor brghttolor | Xngsstenoftalremoval | 卵磷脂（软赖粒 | 美毛夹也 | tangsstemdfhairmmoval | Boautyharbrghtcolor | 美毛宾色 | NET: | 260g | Rigttngtioo | 1260 | NET: | Cold pressing techology lly retana
,,14,妇科用药,115,,,0.0,0.0,14,妇科用药,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\115.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\115.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\115.json,OC | CC | RX | Mifestad 10 | 10 | Mifepristone | STELLA
,性状]本品内容物为类白色至淡黄色丸状颗粒,2,消炎药,118,性状]本品内容物为类白色至淡黄色丸状颗粒,藏密封，在阴凉(不超过20℃)干燥处保存,9.933,0.98335,2,消炎药,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\118.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\118.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\118.json,[成 份]本品主要成份为伊曲康唑。 | [性 状]本品内容物为类白色至淡黄色丸状颗粒。 | [用法用量].[禁忌].|不良反应]、[注意事项]等内容详见说明书。 | [规格] 0.1g | [包 装]药品包装用PTP铝箔/药用PVC硬片包装，7粒/板×2板/盒。 |  藏密封，在阴凉(不超过20℃)干燥处保存。 | 6923528102121>
reject,,,,123,愈圣千方,瑶浴礼盒 | 電圣十方,5.994,0.99857,17,其它,,,0,curated_rejected,人工数据库复核：瑶浴礼盒，不是可确认药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\123.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\123.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\123.json,愈圣千方 | 瑶浴礼盒 | 電圣十方
,,17,其它,133,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\133.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\133.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\133.json,纸 | 农 | 南 | HEAVY | DUTY
reject,,,,143,壹立设计:0756-8666114,特新阳光 | 旺旺：jianwen1900,5.951,0.98786,17,其它,,,0,curated_rejected,人工数据库复核：包装设计联系方式图片，不是药品。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\143.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\143.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\143.json,veei | 天支 | 天支 | Ganzhi | Ganzhi | MD | SRSCEUTAPRANRCAUN | 60 | 特新阳光 | MING UNDN BO ONGNIING NAITUTE | 60 | 旺旺：jianwen1900 | 壹立设计:0756-8666114
reject,,,,151,某某化滞颗粒,某某化温颗粒 | 某某化深颗粒,11.994,0.99858,13,中成药,,,0,curated_rejected,人工数据库复核：使用“某某”占位名称的包装模板。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\151.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\151.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\151.json,某属化深职校 | 2 | 某某化温颗粒 | 某某化滞政粒 | 某某化深颗粒 | 某某化滞颗粒 | OHOHHNMIADIREU | 12室 | R | PE.N ASO () | .+0 | 某某化滞颗粒 | QING GAN HUA ZHI KE LI | 位 | 10袋/盒 | 一8单 | 10818 | 编号：10212599 | 红动中国 (www.redocn.com) | m20160812102540
,用于治疗乙型肝炎，食道端和神植衰弱,17,其它,157,用于治疗乙型肝炎，食道端和神植衰弱,动能与主治】共免疫源作边统 | 促进乙型析炎表面,5.109,0.7772,17,其它,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\157.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\157.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\157.json,树舌 | 用于治疗乙型肝炎，食道端和神植衰弱。 | 【动能与主治】共免疫源作边统 | 促进乙型析炎表面 | 6克/袋+9袋 | 树舌 | 树舌 | 山东济南三源药业有限公司 | SHNDONG JNAN SANYUANMEDCNE CO LUTO | 山东济南三源药企有理位 | (E | 公东济南三源汽全有限公司 | 零三
,,17,其它,164,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\164.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\164.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\164.json,choar gml bon ank | CURIOSIN_ | CURIOSIN | thow pl 3in al | CURIOSIN. | CUROSIN.
reject,,,,168,收纳后,收纳前,3.991,0.9978,4,退烧药,,,0,curated_rejected,人工数据库复核：药品收纳用品广告，不是药盒。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\168.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\168.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\168.json,收纳前 | 收纳后
reject,,,,170,透明外盖防灰防,,6.0,0.99998,4,退烧药,,,0,curated_rejected,人工数据库复核：药品收纳用品广告，不是药盒。,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\170.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\170.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\170.json,透明外盖防灰防
,,17,其它,179,,,0.0,0.0,17,其它,,,0,medicine_name_missing,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\179.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\179.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\179.json,SCLAREBOX | MOCKUP | SOEE HIT INGUIGES
,社世界充满爱,5,肠胃药,180,社世界充满爱,让通仙遍布世界 | Ind3al通仙,5.753,0.93817,5,肠胃药,,,0,needs_review,数据集只有一个类别标签，仍需核对药名和类别,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\data\yolo\medicine\images\train\images\180.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\unmatched_medicine_review\images\180.jpg,C:\Users\王鑫\OneDrive\桌面\ai-vision\软通动力实训-2026-07\软通动力实训-2026-07\ai-training\output\ocr_results\json\180.json,Ind3al通仙 | SOPIC | 让通仙遍布世界 | 社世界充满爱
